City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,The Valley,AI,2022-04-09 00:48:01,18.217,-63.0578,78.82,78,20,12.66,few clouds
140,Springdale,US,2022-04-09 00:47:17,36.1867,-94.1288,51.53,42,75,14.97,broken clouds
141,Constitucion,CL,2022-04-09 00:44:16,-35.3333,-72.4167,53.44,94,28,9.57,scattered clouds
142,Khani,GE,2022-04-09 00:48:01,41.9563,42.9566,42.37,100,100,1.95,overcast clouds
143,Astara,AZ,2022-04-09 00:48:02,38.5,48.6667,60.78,58,100,11.68,overcast clouds
144,Carlyle,US,2022-04-09 00:48:02,38.6103,-89.3726,41.4,73,100,5.01,overcast clouds
145,Sao Filipe,CV,2022-04-09 00:48:02,14.8961,-24.4956,76.19,64,40,9.86,scattered clouds
146,Pontiac,US,2022-04-09 00:43:09,42.6389,-83.2911,43.77,84,75,13.8,broken clouds
147,Thunder Bay,CA,2022-04-09 00:48:03,48.4001,-89.3168,39.18,56,75,17.27,broken clouds
148,Esperance,AU,2022-04-09 00:48:03,-33.8667,121.9,60.64,61,100,18.54,overcast clouds
149,Amapa,BR,2022-04-09 00:48:04,1.0,-52.0,71.89,99,100,3.09,overcast clouds
150,Atuona,PF,2022-04-09 00:48:05,-9.8,-139.0333,79.74,77,99,17.43,overcast clouds
151,Pafos,CY,2022-04-09 00:48:06,34.7667,32.4167,55.18,88,0,5.75,clear sky
152,Irbeyskoye,RU,2022-04-09 00:48:06,55.6428,95.4522,37.22,82,100,6.93,overcast clouds
153,Redwater,US,2022-04-09 00:48:07,33.3582,-94.2544,62.89,56,0,6.33,clear sky
154,Caucaia,BR,2022-04-09 00:48:07,-3.7361,-38.6531,77.04,85,0,5.75,clear sky
155,Boa Vista,BR,2022-04-09 00:48:07,2.8197,-60.6733,85.98,58,20,12.66,few clouds
156,Korla,CN,2022-04-09 00:48:08,41.7597,86.1469,67.71,21,99,12.03,overcast clouds
157,Bossangoa,CF,2022-04-09 00:48:08,6.4926,17.4552,72.91,85,20,5.57,few clouds
158,Hurghada,EG,2022-04-09 00:48:09,27.2574,33.8129,77.04,31,0,18.41,clear sky
159,Canals,ES,2022-04-09 00:48:09,38.9625,-0.5844,64.02,53,100,7.0,overcast clouds
160,Tagab,AF,2022-04-09 00:48:09,34.855,69.6492,62.53,43,0,4.76,clear sky
161,Nouadhibou,MR,2022-04-09 00:48:10,20.931,-17.0347,64.38,77,0,20.71,clear sky
162,Clyde River,CA,2022-04-09 00:48:10,70.4692,-68.5914,-3.77,84,0,6.91,clear sky
163,Ostrovnoy,RU,2022-04-09 00:48:10,68.0531,39.5131,32.05,97,100,21.85,light snow
164,San Quintin,MX,2022-04-09 00:46:11,30.4833,-115.95,74.8,42,100,6.24,overcast clouds
165,Bud,US,2022-04-09 00:48:11,39.447,-86.1758,41.02,86,84,11.63,light rain
166,Karia,NG,2022-04-09 00:48:11,11.7306,11.1629,82.11,42,100,10.16,overcast clouds
167,Tuatapere,NZ,2022-04-09 00:48:12,-46.1333,167.6833,59.83,56,22,4.68,few clouds
168,Asmar,AF,2022-04-09 00:48:12,35.0333,71.3581,66.49,48,38,10.85,scattered clouds
169,Sinazongwe,ZM,2022-04-09 00:48:12,-17.2614,27.4618,72.46,74,75,7.27,broken clouds
170,Mount Gambier,AU,2022-04-09 00:48:13,-37.8333,140.7667,67.91,68,40,14.97,scattered clouds
171,Tasiilaq,GL,2022-04-09 00:48:13,65.6145,-37.6368,19.56,95,100,3.94,light snow
172,Tigil,RU,2022-04-09 00:48:13,57.8,158.6667,27.61,95,100,12.62,snow
173,Margate,GB,2022-04-09 00:48:14,51.3813,1.3862,41.7,76,100,4.0,overcast clouds
174,Astaneh-Ye Ashrafiyeh,IR,2022-04-09 00:44:53,37.2596,49.9444,55.33,70,100,3.29,overcast clouds
