City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Waipawa,NZ,2022-04-06 00:47:59,-41.4122,175.5153,65.8,71,100,17.87
166,La Ligua,CL,2022-04-06 00:47:59,-32.4524,-71.2311,63.57,62,0,0.96
167,Diamantina,BR,2022-04-06 00:48:00,-18.2494,-43.6003,62.92,80,27,3.6
168,Arcata,US,2022-04-06 00:44:14,40.8665,-124.0828,56.19,68,0,17.27
169,San Pedro,PH,2022-04-06 00:46:11,14.35,121.0167,84.25,78,75,4.61
170,Westport,US,2022-04-06 00:46:58,41.1415,-73.3579,50.65,71,100,4.61
171,Srivardhan,IN,2022-04-06 00:48:00,18.0333,73.0167,77.9,86,52,3.2
172,Ano Mera,GR,2022-04-06 00:48:01,37.45,25.4,58.66,78,62,21.97
173,Shinjo,JP,2022-04-06 00:48:01,38.7586,140.3008,56.28,48,100,8.12
174,Saskylakh,RU,2022-04-06 00:48:02,71.9167,114.0833,-13.0,97,62,4.38
175,Portel,BR,2022-04-06 00:48:02,-1.9356,-50.8211,74.25,97,100,2.98
176,Santiago Del Estero,AR,2022-04-06 00:48:02,-27.7951,-64.2615,75.83,63,100,5.3
177,Byron Bay,AU,2022-04-06 00:48:03,-28.65,153.6167,78.69,77,31,6.58
178,Longyearbyen,SJ,2022-04-06 00:49:03,78.2186,15.6401,8.44,72,0,16.11
179,Ponta Do Sol,PT,2022-04-06 00:49:04,32.6667,-17.1,59.63,64,48,8.03
180,Oudtshoorn,ZA,2022-04-06 00:49:04,-33.5907,22.2014,57.56,77,20,2.28
181,Port Hardy,CA,2022-04-06 00:45:35,50.6996,-127.4199,46.4,70,75,2.3
182,Quatre Cocos,MU,2022-04-06 00:49:04,-20.2078,57.7625,78.91,85,100,11.07
183,Ahipara,NZ,2022-04-06 00:49:05,-35.1667,173.1667,72.23,79,22,10.27
184,Skjervoy,NO,2022-04-06 00:49:05,70.0311,20.9714,30.2,69,100,19.71
185,Biak,ID,2022-04-06 00:44:14,-0.9131,122.8766,80.55,74,100,5.73
186,Banda Aceh,ID,2022-04-06 00:49:06,5.5577,95.3222,79.02,81,98,8.46
187,Ratnagiri,IN,2022-04-06 00:49:06,16.9833,73.3,79.16,86,99,6.46
188,Grindavik,IS,2022-04-06 00:49:06,63.8424,-22.4338,28.87,69,40,24.16
189,Miri,MY,2022-04-06 00:49:07,4.4148,114.0089,75.34,100,40,0.0
190,Hithadhoo,MV,2022-04-06 00:49:07,-0.6,73.0833,82.26,69,16,4.23
191,Kontagora,NG,2022-04-06 00:49:08,10.3999,5.4695,82.99,50,97,4.32
192,Bulaevo,KZ,2022-04-06 00:49:08,54.9056,70.4439,33.76,83,100,10.96
193,Bilibino,RU,2022-04-06 00:49:09,68.0546,166.4372,4.37,74,92,3.06
194,Viedma,AR,2022-04-06 00:49:09,-40.8135,-62.9967,68.74,41,96,11.61
195,Mount Gambier,AU,2022-04-06 00:47:32,-37.8333,140.7667,62.51,72,100,13.8
196,Port Alfred,ZA,2022-04-06 00:49:09,-33.5906,26.891,57.18,88,6,1.99
197,Ambon,ID,2022-04-06 00:49:10,-3.6954,128.1814,93.34,59,20,1.14
198,Nampula,MZ,2022-04-06 00:49:10,-15.1165,39.2666,73.35,94,40,8.05
199,Alofi,NU,2022-04-06 00:49:10,-19.0595,-169.9187,84.09,65,75,4.61
200,Adrar,MR,2022-04-06 00:49:11,20.5022,-10.0711,72.61,31,1,11.68
201,Fort Nelson,CA,2022-04-06 00:49:11,58.8053,-122.7002,49.59,23,75,4.61
202,Simao,CN,2022-04-06 00:49:12,22.7886,100.9748,67.01,74,1,2.68
203,Kavieng,PG,2022-04-06 00:49:12,-2.5744,150.7967,81.39,76,100,14.29
204,Nouadhibou,MR,2022-04-06 00:49:13,20.931,-17.0347,64.38,63,0,23.02
205,Contai,IN,2022-04-06 00:49:13,21.7786,87.7536,79.3,81,6,13.71
206,Sao Filipe,CV,2022-04-06 00:49:13,14.8961,-24.4956,71.46,72,0,8.79
207,Port Hedland,AU,2022-04-06 00:49:14,-20.3167,118.5667,89.65,43,0,16.11
208,Victor Harbor,AU,2022-04-06 00:49:14,-35.5667,138.6167,62.92,72,80,9.1
209,Lagoa,PT,2022-04-06 00:49:14,39.05,-27.9833,59.68,86,34,15.61
210,Tiksi,RU,2022-04-06 00:49:15,71.6872,128.8694,-10.43,100,100,3.4
211,Khandyga,RU,2022-04-06 00:49:15,62.6667,135.6,14.67,79,100,5.41
